Song Name,Song name (in Japanese/Special Characters),Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
BURNIN' THE FLOOR,n/a,NAOKI,"Naoki Maeda, Robbie Danzie, Aaron G",Euro Groove,155.00,155.00,DDR,4th style,No,No,No,0,0,4,293,4,478,7,721,0,0,3,460,4,482,8,724,0,0
HIGHER,n/a,NM feat. Sunny,"Naoki Maeda, Sunny James",Dance Pop,132.00,132.00,DDR,4th style,No,No,No,0,0,3,270,4,468,6,641,0,0,4,362,6,578,7,611,0,0
INFINITE PRAYER,n/a,L.E.D. LIGHT feat. GORO,"Toshiyuki Kakuta, GORO",Oceanian Tribal Trance,137.00,137.00,BM,4th style,Yes,No,No,0,0,4,483,5,555,*,739,0,0,5,562,7,752,*,880,0,0
NORTH,n/a,WALL5,Hiego Tani,Celtrance,138.00,138.00,BM,4th style,Yes,No,No,3,230,4,305,5,466,0,0,0,0,5,402,8,791,0,0,0,0
Rest my mind,n/a,dj nagureo feat. Doublecheese,"Reo Nagumo, Robbie Danzie, Masaru Umehara",Hiphop,94.00,94.00,BM,4th style,Yes,No,No,0,0,3,230,4,259,0,0,0,0,3,227,4,261,0,0,0,0
SANA MOLLETE NE ENTE,サナ・モレッテ・ネ・エンテ,Togo Project feat. Sana,"Hiroyuki Togo, Sanae Shintani",Cuban Groove,90.00,90.00,BM,4th style,Yes,No,No,0,0,3,325,5,457,5,473,0,0,3,453,5,690,0,0,0,0
Twin Bee -Generation X-,n/a,FinalOffset,Hideaki Sugaya,Euro Beat,168.00,177.00,BM,4th style,Yes,No,No,0,0,4,332,5,389,5,487,0,0,4,327,5,443,5,474,0,0
250bpm,n/a,AKIRA YAMAOKA,Akira Yamaoka,Gabba,250.00,250.00,IIDX,4th style,No,No,No,3,292,5,353,8,528,10,726,0,0,4,351,7,523,9,672,0,0
Broken My Heart,n/a,NAOKI feat. Paula Terry,"Naoki Maeda, Paula Terry",Hyper Euro Beat,160.00,160.00,DMX,4th style,No,No,No,0,0,5,474,7,571,9,914,0,0,4,405,7,742,10,914,0,0
FLOWERS for ALBION,n/a,dj TAKA,Takayuki Ishikawa,Ambient,70.00,93.00,IIDX,4th style,No,No,No,0,0,2,122,5,222,0,0,0,0,5,190,7,222,0,0,0,0
GET ON BEAT (WILD STYLE),n/a,Lion Musashi,Takayuki Ishikawa,Hard House,150.00,150.00,IIDX,4th style,Yes,No,No,3,453,6,730,9,918,10,1094,0,0,6,702,8,913,10,1077,0,0
Jam & Marmalade,n/a,FinalOffset,Hideaki Sugaya,Warp House,145.00,145.00,BM,4th style,No,No,No,0,0,6,388,7,456,8,512,0,0,4,327,6,451,0,0,0,0
KAMIKAZE,n/a,dj nagureo,Reo Nagumo,Techno,145.00,145.00,IIDX,4th style,No,No,No,0,0,5,515,6,745,10,1157,0,0,5,512,7,745,10,1156,0,0
minimalian,n/a,DETROIAN,Akira Yamaoka,Minimal,141.00,141.00,IIDX,4th style,No,No,No,0,0,3,271,8,555,9,706,0,0,3,263,9,626,12,1015,0,0
ULTRA HIGH-HEELS,n/a,dj TAKA feat. ANGEL,"Takayuki Ishikawa, Angel O'Brien",Parapara,160.00,160.00,pop'n,4th style,Yes,No,No,0,0,4,380,5,462,5,497,0,0,4,441,5,503,0,0,0,0
Deadline,n/a,Dutch Force,"Benno de Goeij, Piet Bervoets",Trance,137.00,137.00,IIDX,5th style,Yes,Yes,No,0,0,3,335,5,626,0,831,0,0,4,509,7,953,*,1267,0,0
Tengoku no kiss ~D.J.TAKA'S STYLE~,天国のキッス ～D.J.TAKA's style～,オセロ,"Takayuki Ishikawa, Haruomi Hosono, Tomoko Nakajima, Nahomi Matsushima ",Euro Trance,150.00,150.00,IIDX,5th style,Yes,Yes,No,0,0,3,374,5,606,0,781,0,0,4,433,6,731,*,806,0,0
1989,n/a,Osamu Kubota,Osamu Kubota,Rock Opea,88.00,88.00,IIDX,5th style,Yes,No,No,0,0,4,372,6,562,0,0,0,0,5,352,6,579,0,0,0,0
Abyss,n/a,dj TAKA,Takayuki Ishikawa,Intelligence,142.00,142.00,IIDX,5th style,No,No,No,0,0,5,639,7,817,8,945,0,0,7,771,8,889,9,964,0,0
Come With Me,n/a,good-cool feat. Aundréa L.Hopkins,Tatsuya Furukawa,House,125.00,125.00,IIDX,5th style,Yes,No,No,0,0,4,410,5,483,*,679,0,0,4,472,7,686,0,0,0,0
Estella,n/a,Osamu Kubota,Osamu Kubota,Spanish Waltz,114.00,114.00,IIDX,5th style,Yes,No,No,0,0,4,382,6,559,0,0,0,0,6,567,7,799,0,0,0,0
Flash of love,n/a,good-cool feat. Mickin'Tackin',"Tatsuya Furukawa, Miki Masuda",J-Disco,113.00,113.00,IIDX,5th style,Yes,No,No,0,0,4,352,5,514,*,603,0,0,4,362,6,494,*,626,0,0
Give Me A Sign,n/a,"Shoichiro Hirata feat.""Red""","Shoichiro Hirata, Red-Beth Ann Beal",Two Step,126.00,126.00,IIDX,5th style,Yes,No,No,0,0,4,440,6,650,8,881,0,0,5,660,8,827,9,861,0,0
IIDX,n/a,DJ SIMON,"Kiyotaka Sugimoto, Terry Thompson",Hiphop,110.00,110.00,IIDX,5th style,Yes,No,No,0,0,3,283,4,428,4,550,0,0,3,283,4,428,4,550,0,0
Kiss me all night long,n/a,NAOKI J-STYLE feat. MIU,"Naoki Maeda, Miyuki Kunitake",J-Euro Pop,155.00,155.00,DMX,5th style,Yes,No,No,0,0,5,471,6,629,7,746,0,0,5,480,6,620,7,703,0,0
LOVE AGAIN TONIGHT～for Mellisa mix～,n/a,NAOKI feat. PAULA TERRY,"Naoki Maeda, Paula Terry",Hyper Eurobeat,150.00,150.00,DDR,5th style,No,No,No,0,0,4,385,5,501,6,561,0,0,4,466,5,555,0,0,0,0
Mobo★Moga,n/a,Orange Lounge,"Tomosuke Funaki, Shizue Tokui, Toshio Sakurai",French Pop,172.00,172.00,DMX,5th style,Yes,No,No,0,0,5,363,6,512,7,592,0,0,4,364,5,501,9,645,0,0
outer wall,n/a,sampling masters MEGA,Shinji Hosoe,Techno,149.00,149.00,IIDX,5th style,No,No,No,0,0,5,474,6,687,8,892,11,1096,5,474,7,736,10,902,0,0
OVER THE CLOUDS,n/a,Lala Moore,"Jun Wakita, Noriko Fukushima, Yuko Asai, Morinokijidogasshodan",House,128.00,128.00,IIDX,5th style,Yes,No,No,0,0,3,292,5,573,7,765,0,0,3,291,5,515,9,879,0,0
QQQ,n/a,TaQ,Taku Sakakibara,Techno,155.00,155.00,IIDX,5th style,No,No,No,0,0,5,621,8,961,10,1091,0,0,10,1016,12,1346,0,0,0,0
Radical Faith,n/a,TaQ,Taku Sakakibara,Big Beat,114.00,114.00,IIDX,5th style,No,No,No,0,0,5,602,6,768,7,660,0,0,6,749,11,1255,10,1101,0,0
Real,n/a,Aya,Aya Sakuma,Drum'n'Bass,200.00,200.00,IIDX,5th style,No,No,No,0,0,5,580,8,866,9,920,0,0,7,796,9,949,11,1139,0,0
Remember You,n/a,NM feat. Julie,"Naoki Maeda, Julie Ann Frost",Ballad,60.00,105.00,DDR,5th style,Yes,No,No,0,0,2,187,4,409,0,0,0,0,3,234,4,409,0,0,0,0
RIDE ON THE LIGHT (HI GREAT MIX),n/a,Mr. T,Tomoyuki Uchida,Power Fusion,180.00,180.00,IIDX,5th style,No,No,No,0,0,4,452,5,548,8,862,10,931,5,469,8,616,9,904,10,1010
RISLIM,n/a,ric,Akira Yamaoka,New Romantic,130.00,130.00,IIDX,5th style,No,No,No,0,0,4,463,7,625,0,0,0,0,4,463,6,625,0,0,0,0
sometime,n/a,Aya,Aya Sakuma,Soundtrack,150.00,150.00,IIDX,5th style,No,No,No,0,0,4,393,6,539,8,672,0,0,5,393,8,676,8,693,0,0
Spin the disc,n/a,good-cool,Tatsuya Furukawa,House,130.00,130.00,IIDX,5th style,No,No,No,0,0,5,409,7,659,8,674,0,0,7,618,10,908,0,0,0,0
STILL IN MY HEART,n/a,NAOKI,"Naoki Maeda, Paula Terry",Hyper Eurobeat,150.00,150.00,DDR,5th style,No,No,No,0,0,5,517,7,705,9,971,0,0,4,516,6,705,11,1286,0,0
still my words,n/a,TaQ feat. Meg,Tatsuya Furukawa,Ambient,136.00,136.00,IIDX,5th style,No,No,No,0,0,4,464,6,619,0,0,0,0,5,437,7,726,0,0,0,0
tablets,n/a,sampling masters MEGA,Shinji Hosoe,Rave,180.00,180.00,IIDX,5th style,Yes,No,No,0,0,4,378,6,551,0,0,0,0,4,420,6,558,0,0,0,0
,n/a,,,,180.00,360.00,,,,,No,0,0,0,0,0,0,8,819,0,0,0,0,0,0,9,696,0,0
THE BIG VOYAGER -INFINITE PRAYER REINTERPRETATION-,n/a,L.E.D.,Toshiyuki Kakuta,Goa Trance,147.00,147.00,IIDX,5th style,Yes,No,No,0,0,5,551,7,871,0,0,0,0,6,549,7,871,0,0,0,0
THE CUBE,n/a,DJ SUWAMI,Keiichi Ueno,Drum'n'Bass,178.00,178.00,IIDX,5th style,No,No,No,0,0,4,374,6,644,7,682,0,0,4,374,6,645,11,1113,0,0
THE SHINING POLARIS,n/a,L.E.D. feat. Sana,"Toshiyuki Kakuta, Sanae Shintani",Epic Trance,147.00,147.00,IIDX,5th style,No,No,No,0,0,5,485,7,667,8,799,0,0,6,487,8,665,0,0,0,0
Time is money,n/a,good-cool,Tatsuya Furukawa,Jazz,110.00,110.00,IIDX,5th style,Yes,No,No,0,0,3,308,3,327,0,0,0,0,3,317,3,327,0,0,0,0
V,n/a,TAKA,"Takayuki Ishikawa, Antonio Vivaldi",Progressive,150.00,150.00,IIDX,5th style,No,No,No,2,453,5,646,10,1272,12,1519,0,0,6,757,10,1385,11,1504,0,0
INSERTiON,n/a,NAOKI underground,Naoki Maeda,Euro Trance,110.00,225.00,DDR,5th style,Yes,No,No,0,0,5,452,7,664,8,835,0,0,5,445,7,595,8,850,0,0
sync,n/a,OutPhase,"Taku Sakakibara, Takayuki Ishikawa",Trance,167.00,167.00,IIDX,5th style,No,No,No,0,0,6,549,8,982,10,1204,0,0,7,796,9,1030,11,1208,0,0
in my eyes,n/a,ric,"Akira Yamaoka, Riewo",Trance,142.00,142.00,IIDX,5th style,No,No,No,0,0,5,484,6,739,7,798,0,0,5,484,8,842,10,1051,0,0
Regulus,n/a,DJ.W,Jun Wakita,Instrumental,128.00,128.00,IIDX,5th style,No,No,No,0,0,6,551,9,788,10,881,0,0,6,545,10,805,11,1065,0,0
VIRTUAL MIND,n/a,Brian Morris feat. Thomas,"Kazuhiro Senoo, Thomas Howard Lichtenstein, Harumi Ueko",Hiphop,128.00,128.00,DMX,5th style,Yes,No,No,0,0,3,339,7,627,10,806,0,0,5,346,8,653,11,953,0,0
A New Morning,n/a,Yukihiro Fukutomi,Yukihiro Fukutomi,House,125.00,125.00,IIDX,6th style,Yes,Yes,No,0,0,4,307,5,523,0,0,0,0,4,307,7,790,0,0,0,0
Beautiful Days,n/a,Fantastic Plastic Machine,"Tomoyuki Tanaka, Dan Miyakawa,Masayuki Kumahara",House,125.00,125.00,IIDX,6th style,Yes,Yes,No,0,0,4,411,5,560,0,0,0,0,4,496,5,697,0,0,0,0
Flowtation (Original Mix),n/a,Vincent de Moor,Vincent de Moor,Trance,140.00,140.00,IIDX,6th style,Yes,Yes,No,0,0,5,627,7,879,0,0,0,0,5,627,7,893,7,1101,0,0
Fly Awaya (Instrumental),n/a,Vincent de Moor,Vincent de Moor,Trance ,138.00,138.00,IIDX,6th style,Yes,Yes,No,1,150,4,416,6,779,0,0,0,0,4,722,7,981,7,1133,0,0
JUST DO IT,n/a,NIKI,NIKI,Hyper Techno,136.00,136.00,IIDX,6th style,Yes,Yes,No,0,0,4,568,6,839,0,0,0,0,4,568,7,921,0,0,0,0
Night of Fire,n/a,NIKO,"Andrea Leonardi, Newfield, Sinclaire, Maurizio DeJorio",Super Eurobeat,155.00,155.00,PARA,6th style,Yes,Yes,No,0,0,4,428,6,780,0,0,0,0,5,427,7,704,0,0,0,0
PARAPARA PARADISE,n/a,DOMINO,"Alberto Contini, Dave Rodgers, Alessandra Gatti",Super Eurobeat,154.00,154.00,IDX,6th style,Yes,Yes,No,0,0,5,541,7,825,0,0,0,0,5,583,7,887,0,0,0,0
