Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
I'M FOR REAL,SLAKE feat. JP Miles,"Takehiko Fujii, JP Miles",Two Step,140,140,IIDX,4th style,Yes,No,,2,134,3,264,4,310,4,363,n/a,n/a,3,293,4,344,n/a,n/a,n/a,n/a
LOVE WILL...,riewo,"Akira Yamaoka, Riewo",Trance,144,144,IIDX,4th style,No,No,,2,139,4,279,4,379,7,732,n/a,n/a,4,330,6,529,8,726,n/a,n/a
LUV TO ME (UCCHIE'S EDITION),tiger YAMATO,Reo Nagumo,Euro Beat,160,160,IIDX,4th style,Yes,No,,2,189,5,428,6,620,11,873,n/a,n/a,5,479,8,746,8,826,n/a,n/a
Mr. T (take me higher),Risky Men feat. Asuka-M,"Keiichi Ueno, Asuka M.",Dance Pop,128,128,IIDX,4th style,No,No,,1,176,4,428,5,510,10,889,n/a,n/a,4,428,5,510,10,885,n/a,n/a
Nasty!,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,127,127,IIDX,4th style,Yes,No,,n/a,n/a,3,295,4,486,9,790,n/a,n/a,5,502,9,787,n/a,n/a,n/a,n/a
Nothing Ain't Stopping Us,Shoichiro Hirata,Shoichiro Hirata,Disco,128,128,IIDX,4th style,Yes,No,,1,156,2,196,3,256,n/a,n/a,n/a,n/a,1,247,2,257,n/a,n/a,n/a,n/a
R壱萬,tiger YAMATO,Reo Nagumo,Rave,190,190,IIDX,4th style,Yes,No,,3,323,5,378,6,553,0,655,n/a,n/a,4,385,6,585,0,646,n/a,n/a
sanctus,Osamu Kubota,Osamu Kubota,Rock Opera,160,160,IIDX,4th style,Yes,No,,1,203,3,223,5,334,n/a,n/a,n/a,n/a,3,258,4,359,n/a,n/a,n/a,n/a
Small Waves,dj TAKA,Takayuki Ishikawa,Club Mix,127,127,IIDX,4th style,Yes,No,,n/a,n/a,4,411,5,573,0,585,n/a,n/a,4,547,5,584,n/a,n/a,n/a,n/a
starmine,Ryu,Ryutaro Nakahara,Happy Hardcore,182,182,IIDX,4th style,No,No,,2,224,5,456,8,719,9,800,10,1039,5,566,8,796,12,1098,n/a,n/a
SWEET LAB,DJ SIMON,Kiyotaka Sugimoto,Lounge House,120,120,IIDX,4th style,No,No,,1,95,3,280,6,496,10,692,n/a,n/a,6,445,10,674,12,719,n/a,n/a
Under Construction,good-cool,Tatsuya Furukawa,Big Beat,125,125,IIDX,4th style,Yes,No,,n/a,n/a,5,417,7,507,8,582,n/a,n/a,5,417,7,569,8,754,n/a,n/a
Vienna,Osamu Kubota,Osamu Kubota,Piano Ambient,115,115,IIDX,4th style,Yes,No,,2,286,3,315,5,432,n/a,n/a,n/a,n/a,4,315,6,432,n/a,n/a,n/a,n/a
Voltage (feat. Hidemaru),TaQ,Taku Sakakibara,Big Beat,30,125,IIDX,4th style,No,No,,2,223,5,480,7,630,8,670,n/a,n/a,5,480,11,964,n/a,n/a,n/a,n/a
B4U,NAOKI,"Naoki Maeda, Aaron G",Speed Rave,155,155,DDR,4th style,No,No,,3,314,5,538,9,801,10,1014,n/a,n/a,6,629,8,815,n/a,n/a,n/a,n/a
